"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_827","","hypothetical protein","12","1","193","396","5.853658536585367","99.74811083123426","24.621761658031087","1.7746905920896658e-05","0.07881400919470205","0.00019176157954915341","2","2","1","0.5","1.0"
"group_313","","hypothetical protein","25","108","180","289","12.195121951219512","72.79596977329975","0.37165637860082307","1.8634850755466632e-05","0.08275737220502731","0.0002008674082646294","8","4","6","0.2890625","1.0"
"MENG","MENG","2-phytyl-14-beta-naphthoquinone methyltransferase chloroplastic","38","140","167","257","18.536585365853657","64.73551637279597","0.41770744225834044","2.004185410163938e-05","0.08900587406538048","0.00021551059095733773","5","5","4","0.0625","0.375"
"group_2432","","hypothetical protein","115","149","90","248","56.09756097560976","62.468513853904284","2.1267710663683816","2.0258995450744666e-05","0.08997019879675706","0.00021679565975122185","9","8","6","0.0390625","0.5078125"
"group_56","","hypothetical protein","115","149","90","248","56.09756097560976","62.468513853904284","2.1267710663683816","2.0258995450744666e-05","0.08997019879675706","0.00021679565975122185","9","8","6","0.0390625","0.5078125"
"group_1833","","hypothetical protein","104","129","101","268","50.73170731707317","67.50629722921914","2.1392278762759998","2.090565417512925e-05","0.092842010191749","0.00022130243920883485","32","14","23","0.020061607006937265","0.5966148958541453"
"group_1206","","hypothetical protein","104","129","101","268","50.73170731707317","67.50629722921914","2.1392278762759998","2.090565417512925e-05","0.092842010191749","0.00022130243920883485","32","14","23","0.020061607006937265","0.5966148958541453"
"group_244","","hypothetical protein","104","129","101","268","50.73170731707317","67.50629722921914","2.1392278762759998","2.090565417512925e-05","0.092842010191749","0.00022130243920883485","33","14","23","0.03508203336969018","0.48685024166479707"
"group_2422","","hypothetical protein","103","128","102","269","50.24390243902439","67.75818639798489","2.1221660539215685","2.1028964050017634e-05","0.09338962934612831","0.00022130243920883485","25","14","19","0.01463329792022705","0.6900379657745361"
"group_1567","","hypothetical protein","103","128","102","269","50.24390243902439","67.75818639798489","2.1221660539215685","2.1028964050017634e-05","0.09338962934612831","0.00022130243920883485","25","14","19","0.01463329792022705","0.6900379657745361"
"group_1543","","hypothetical protein","103","128","102","269","50.24390243902439","67.75818639798489","2.1221660539215685","2.1028964050017634e-05","0.09338962934612831","0.00022130243920883485","25","14","19","0.01463329792022705","0.6900379657745361"
