"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_2126","","hypothetical protein","230","4","351","18","39.586919104991395","81.81818181818183","2.948717948717949","0.04627593788014202","1.0","0.5002530219013893","10","7","4","0.34375","0.75390625"
"group_1430","","putative lipoprotein","218","13","363","9","37.52151462994836","40.909090909090914","0.4157660521296885","0.04643720187892135","1.0","0.5007778833690475","8","4","4","1.0","1.0"
"clpP_2~~~clpP_3","clpP_2;clpP_3","ATP-dependent Clp protease proteolytic subunit","229","4","352","18","39.41480206540447","81.81818181818183","2.9275568181818183","0.04680691604602913","1.0","0.5035426827905749","10","7","4","0.34375","0.75390625"
"group_1671","","hypothetical protein","341","8","240","14","58.69191049913941","63.63636363636363","2.486458333333333","0.047118701907523305","1.0","0.505204263300062","6","4","4","0.6875","0.6875"
"group_1891","","putative lipoprotein;putative protein;hypothetical protein","267","5","314","17","45.955249569707405","77.27272727272727","2.891082802547771","0.04718878444058648","1.0","0.505204263300062","8","4","4","1.0","1.0"
"group_1783","","hypothetical protein","261","15","320","7","44.922547332185886","31.818181818181817","0.380625","0.047539076482178325","1.0","0.5077310500248036","6","3","5","0.21875","1.0"
"clsA~~~cls_2~~~cls_1","clsA;cls_2;cls_1","Major cardiolipin synthase ClsA;Cardiolipin synthase","340","8","241","14","58.519793459552496","63.63636363636363","2.4688796680497926","0.04773163036645106","1.0","0.5085650688684462","6","4","3","0.6875","1.0"
"group_2211","","hypothetical protein","8","2","573","20","1.376936316695353","90.9090909090909","0.13961605584642234","0.047912569580625466","1.0","0.5092716426954998","3","3","1","0.25","1.0"
"group_1186","","hypothetical protein","261","5","320","17","44.922547332185886","77.27272727272727","2.773125","0.04831991975942544","1.0","0.5123756646566282","10","6","5","0.75390625","1.0"
"group_2432","","hypothetical protein","260","5","321","17","44.75043029259897","77.27272727272727","2.7538940809968846","0.04870249966995442","1.0","0.5139791117187826","7","5","4","0.453125","1.0"
"group_56","","hypothetical protein","260","5","321","17","44.75043029259897","77.27272727272727","2.7538940809968846","0.04870249966995442","1.0","0.5139791117187826","7","5","4","0.453125","1.0"
"group_1642","","putative lipoprotein","291","6","290","16","50.08605851979346","72.72727272727273","2.6758620689655173","0.048822309475871295","1.0","0.5140225616144459","8","4","4","1.0","1.0"
"group_1165","","hypothetical protein","259","5","322","17","44.57831325301205","77.27272727272727","2.734782608695652","0.049140808448886075","1.0","0.5161527468992928","7","5","4","0.453125","1.0"
