"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_1646","","hypothetical protein","5","36","199","361","2.450980392156863","90.93198992443325","0.2519542155220547","0.0018039363592254514","1.0","0.012047039656120646","3","3","3","0.25","0.25"
"group_1435","","hypothetical protein","5","36","199","361","2.450980392156863","90.93198992443325","0.2519542155220547","0.0018039363592254514","1.0","0.012047039656120646","3","3","3","0.25","0.25"
"group_1307","","hypothetical protein","5","36","199","361","2.450980392156863","90.93198992443325","0.2519542155220547","0.0018039363592254514","1.0","0.012047039656120646","3","3","3","0.25","0.25"
"group_750","","hypothetical protein","5","36","199","361","2.450980392156863","90.93198992443325","0.2519542155220547","0.0018039363592254514","1.0","0.012047039656120646","3","3","3","0.25","0.25"
"group_600","","hypothetical protein","5","36","199","361","2.450980392156863","90.93198992443325","0.2519542155220547","0.0018039363592254514","1.0","0.012047039656120646","3","3","3","0.25","0.25"
"group_1651","","hypothetical protein","111","162","93","235","54.41176470588235","59.19395465994962","1.7313819195539626","0.001820281981906786","1.0","0.012137946368840895","35","18","23","0.08953107893466952","1.0"
"arsC","arsC","Arsenate reductase","108","157","96","240","52.94117647058824","60.45340050377834","1.7197452229299364","0.0018240178300157847","1.0","0.012144622463418442","8","6","6","0.2890625","0.2890625"
"clfA",";clfA","hypothetical protein;Clumping factor A","200","365","4","32","98.0392156862745","8.060453400503778","4.383561643835616","0.0018681903984705032","1.0","0.012420110119172913","12","8","4","0.3876953125","0.3876953125"
"group_1221","","hypothetical protein","31","27","173","370","15.196078431372548","93.19899244332494","2.4555769642474843","0.0019268437045641383","1.0","0.012790901183810668","2","2","2","0.5","0.5"
"group_571","","hypothetical protein","152","245","52","152","74.50980392156863","38.287153652392945","1.8135007849293563","0.001941238263146623","1.0","0.012867222577065901","8","7","5","0.0703125","0.7265625"
"group_2286","","hypothetical protein","0","16","204","381","0.0","95.96977329974811","0.0","0.00200247072613272","1.0","0.013233590021957457","1","0","1","1.0","1.0"
"group_1842","","hypothetical protein","0","16","204","381","0.0","95.96977329974811","0.0","0.00200247072613272","1.0","0.013233590021957457","3","0","3","0.25","0.25"
"group_1750","","hypothetical protein","1","21","203","376","0.49019607843137253","94.7103274559194","0.08820079756040347","0.0020376872991200315","1.0","0.013436238933690454","5","1","5","0.0625","0.375"
"group_1677","","hypothetical protein","99","140","105","257","48.529411764705884","64.73551637279597","1.7308163265306122","0.002039186003446829","1.0","0.013436238933690454","41","21","24","0.34888887944907765","1.0"
"group_337","","hypothetical protein","36","35","168","362","17.647058823529413","91.183879093199","2.216326530612245","0.00204892641173559","1.0","0.01348041806595223","25","11","19","0.01463329792022705","0.6900379657745361"
"group_2477","rpoE","putative DNA-directed RNA polymerase subunit delta","189","333","15","64","92.64705882352942","16.120906801007557","2.4216216216216218","0.002167250708518183","1.0","0.014237811237469306","5","4","4","0.375","0.375"
"group_764","","hypothetical protein","173","369","31","28","84.80392156862744","7.052896725440807","0.42346358947460444","0.0021887629168331458","1.0","0.01425263359773607","3","3","2","0.25","1.0"
"group_1349","","hypothetical protein","31","28","173","369","15.196078431372548","92.9471032745592","2.3614781172584642","0.0021887629168331458","1.0","0.01425263359773607","3","2","3","0.25","1.0"
"group_1345","","hypothetical protein","31","28","173","369","15.196078431372548","92.9471032745592","2.3614781172584642","0.0021887629168331458","1.0","0.01425263359773607","3","2","3","0.25","1.0"
"group_1216","","hypothetical protein","31","28","173","369","15.196078431372548","92.9471032745592","2.3614781172584642","0.0021887629168331458","1.0","0.01425263359773607","3","2","3","0.25","1.0"
"group_669","","hypothetical protein","31","28","173","369","15.196078431372548","92.9471032745592","2.3614781172584642","0.0021887629168331458","1.0","0.01425263359773607","3","2","3","0.25","1.0"
"farB_1~~~farB_2","farB_1;farB_2;","Fatty acid resistance protein FarB;hypothetical protein","31","28","173","369","15.196078431372548","92.9471032745592","2.3614781172584642","0.0021887629168331458","1.0","0.01425263359773607","3","2","3","0.25","1.0"
"group_1244","","hypothetical protein","103","148","101","249","50.49019607843137","62.72040302267003","1.7157479261439657","0.0022175770209460206","1.0","0.01441912086386717","26","13","20","0.009355306625366211","1.0"
"pitA","pitA","L-methionine sulfoximine/L-methionine sulfone acetyltransferase","68","185","136","212","33.33333333333333","53.40050377833753","0.572972972972973","0.00222201986411427","1.0","0.014426886281478764","12","10","7","0.03857421875","0.7744140625"
"group_957","","hypothetical protein","7","42","197","355","3.431372549019608","89.4206549118388","0.3003384094754653","0.0024220877028586587","1.0","0.01570290728232891","5","2","5","0.0625","1.0"
"group_610","","hypothetical protein","24","19","180","378","11.76470588235294","95.21410579345087","2.6526315789473682","0.0024284943723305932","1.0","0.015721491993469627","11","4","10","0.01171875","0.548828125"
"group_943","","hypothetical protein","60","72","144","325","29.411764705882355","81.86397984886649","1.880787037037037","0.0024495437837651953","1.0","0.015834678229550557","40","17","27","0.03847730828420026","0.42959050784338615"
"group_444","","hypothetical protein","6","38","198","359","2.941176470588235","90.42821158690177","0.2862838915470494","0.0026022474844026307","1.0","0.01677297689148343","6","5","1","0.21875","0.21875"
"group_1299","","hypothetical protein","6","38","198","359","2.941176470588235","90.42821158690177","0.2862838915470494","0.0026022474844026307","1.0","0.01677297689148343","2","1","2","0.5","1.0"
"group_2049","","hypothetical protein","62","171","142","226","30.392156862745097","56.92695214105793","0.5770529610411004","0.002646515825885667","1.0","0.017033589540229346","34","16","23","0.05761267291381955","0.8641662404406816"
"group_729","","hypothetical protein","5","34","199","363","2.450980392156863","91.43576826196474","0.26825302985515814","0.002840919067189197","1.0","0.018258352499836792","14","5","11","0.057373046875","0.4239501953125"
"group_2429","","hypothetical protein","4","31","200","366","1.9607843137254901","92.19143576826197","0.2361290322580645","0.0028781740636089547","1.0","0.01847105638220718","3","2","1","1.0","1.0"
"group_1494","","hypothetical protein","25","89","179","308","12.254901960784313","77.58186397984886","0.483334379511644","0.0028845431205513795","1.0","0.01848521789086389","27","13","20","0.0191572904586792","1.0"
"group_1563","","hypothetical protein","101","146","103","251","49.50980392156863","63.22418136020151","1.6857959835084453","0.0029343632344212937","1.0","0.018777387786837126","40","17","30","0.0022214337732293643","0.42959050784338615"
"group_1286","","hypothetical protein","103","149","101","248","50.49019607843137","62.468513853904284","1.6973885307993886","0.00295293704939136","1.0","0.018869055304096445","10","9","8","0.021484375","0.109375"
"fruA_1~~~fruA_2~~~fruA","fruA_1;;fruA_2;fruA","PTS system fructose-specific EIIABC component;hypothetical protein","187","329","17","68","91.66666666666666","17.12846347607053","2.2735562310030395","0.002966640545127701","1.0","0.018875144213341147","3","3","2","0.25","1.0"
"lacC_1","lacC_1","Tagatose-6-phosphate kinase","17","68","187","329","8.333333333333332","82.87153652392946","0.43983957219251335","0.002966640545127701","1.0","0.018875144213341147","3","2","3","0.25","1.0"
"fruA","fruA","PTS system fructose-specific EIIABC component","17","68","187","329","8.333333333333332","82.87153652392946","0.43983957219251335","0.002966640545127701","1.0","0.018875144213341147","3","2","3","0.25","1.0"
"dus","dus","putative tRNA-dihydrouridine synthase","135","212","69","185","66.17647058823529","46.59949622166247","1.7073420836751436","0.003005411635980451","1.0","0.019067190107698834","8","7","6","0.0703125","0.2890625"
"group_197","","hypothetical protein","69","185","135","212","33.82352941176471","53.40050377833753","0.5857057057057057","0.003005411635980451","1.0","0.019067190107698834","27","22","12","0.0015137195587158203","0.7011080384254456"
"group_604","","hypothetical protein","147","237","57","160","72.05882352941177","40.302267002518896","1.7410615145458583","0.003055582062148129","1.0","0.01935783158059892","6","5","6","0.03125","0.21875"
"group_601","","hypothetical protein","13","58","191","339","6.372549019607843","85.3904282115869","0.3978154901606788","0.003089934486994273","1.0","0.019547577003905366","5","4","3","0.375","1.0"
"group_739","nagA","N-acetylglucosamine-6-phosphate deacetylase","196","354","8","43","96.07843137254902","10.831234256926953","2.975988700564972","0.0031953518301029585","1.0","0.020099939769811954","4","4","3","0.125","0.625"
"group_1829","","hypothetical protein","8","43","196","354","3.9215686274509802","89.16876574307305","0.33602278120550544","0.0031953518301029585","1.0","0.020099939769811954","11","4","9","0.0654296875","0.548828125"
"paiB","paiB;","Protease synthase and sporulation protein PAI 2;hypothetical protein","8","43","196","354","3.9215686274509802","89.16876574307305","0.33602278120550544","0.0031953518301029585","1.0","0.020099939769811954","4","3","4","0.125","0.625"
"group_1061","","hypothetical protein","8","43","196","354","3.9215686274509802","89.16876574307305","0.33602278120550544","0.0031953518301029585","1.0","0.020099939769811954","4","3","4","0.125","0.625"
"group_645","","hypothetical protein","23","18","181","379","11.27450980392157","95.46599496221663","2.675567833026397","0.003211018317667816","1.0","0.02015248790708983","10","4","9","0.021484375","0.75390625"
"group_1708","","hypothetical protein","8","44","196","353","3.9215686274509802","88.9168765743073","0.3274582560296846","0.003212781229051925","1.0","0.02015248790708983","12","6","6","1.0","1.0"
"group_1475","","hypothetical protein","125","192","79","205","61.274509803921575","51.63727959697732","1.6894119198312236","0.003307439391184743","1.0","0.0206979368051082","40","20","26","0.0806904677519924","1.0"
"group_398","","hypothetical protein","19","13","185","384","9.313725490196079","96.72544080604534","3.033679833679834","0.00330905992605873","1.0","0.0206979368051082","3","3","1","0.25","1.0"
"group_2263","","hypothetical protein","1","19","203","378","0.49019607843137253","95.21410579345087","0.09800362976406533","0.0033910763911441885","1.0","0.020814223975154762","4","1","3","0.625","0.625"
"group_607","","hypothetical protein","1","19","203","378","0.49019607843137253","95.21410579345087","0.09800362976406533","0.0033910763911441885","1.0","0.020814223975154762","4","1","3","0.625","0.625"
"group_193","","hypothetical protein","1","19","203","378","0.49019607843137253","95.21410579345087","0.09800362976406533","0.0033910763911441885","1.0","0.020814223975154762","4","1","3","0.625","0.625"
"group_1393","","hypothetical protein","152","248","52","149","74.50980392156863","37.531486146095716","1.7562034739454093","0.003431541269282504","1.0","0.020814223975154762","7","6","5","0.125","0.453125"
"group_1417","","hypothetical protein","204","383","0","14","100.0","3.5264483627204033","inf","0.0035010640192390473","1.0","0.020814223975154762","1","1","0","1.0","1.0"
"ydeA","ydeA","putative protease YdeA","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_2413","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_2359","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_2337","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_2244","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_2200","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_2116","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_1923","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_1922","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_1848","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_1799","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"IMPDH_2","IMPDH_2","Inosine-5'-monophosphate dehydrogenase","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_1392","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_1062","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_950","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_840","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_755","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_735","","ISL3 family transposase ISSau8","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_734","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_555","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_526","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_502","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_446","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_436","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_431","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_396","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_378","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_316","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_282","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_175","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_40","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_25","","hypothetical protein","0","14","204","383","0.0","96.4735516372796","0.0","0.0035010640192390473","1.0","0.020814223975154762","1","0","1","1.0","1.0"
"group_2118","","hypothetical protein","7","40","197","357","3.431372549019608","89.92443324937027","0.3171319796954315","0.003561894852907553","1.0","0.021091166722349924","5","3","5","0.0625","1.0"
"group_1615","","hypothetical protein","7","40","197","357","3.431372549019608","89.92443324937027","0.3171319796954315","0.003561894852907553","1.0","0.021091166722349924","5","3","5","0.0625","1.0"
"group_452","","hypothetical protein","7","40","197","357","3.431372549019608","89.92443324937027","0.3171319796954315","0.003561894852907553","1.0","0.021091166722349924","5","3","5","0.0625","1.0"
"group_745","","hypothetical protein","1","20","203","377","0.49019607843137253","94.96221662468514","0.09285714285714286","0.0035735548635639994","1.0","0.02110700485778695","4","1","4","0.125","0.625"
"group_2071","","hypothetical protein","8","2","196","395","3.9215686274509802","99.49622166246851","8.061224489795919","0.0036120972060162317","1.0","0.02110700485778695","2","1","2","0.5","1.0"
"czrA_2","czrA_2","HTH-type transcriptional repressor CzrA","8","2","196","395","3.9215686274509802","99.49622166246851","8.061224489795919","0.0036120972060162317","1.0","0.02110700485778695","2","1","2","0.5","1.0"
"group_1342","","hypothetical protein","8","2","196","395","3.9215686274509802","99.49622166246851","8.061224489795919","0.0036120972060162317","1.0","0.02110700485778695","2","1","2","0.5","1.0"
"glpE","glpE","Thiosulfate sulfurtransferase GlpE","8","2","196","395","3.9215686274509802","99.49622166246851","8.061224489795919","0.0036120972060162317","1.0","0.02110700485778695","2","1","2","0.5","1.0"
"gloB","gloB","Hydroxyacylglutathione hydrolase","8","2","196","395","3.9215686274509802","99.49622166246851","8.061224489795919","0.0036120972060162317","1.0","0.02110700485778695","2","1","2","0.5","1.0"
"zosA_2~~~zosA_1~~~zosA","zosA_2;zosA_1;zosA","Zinc-transporting ATPase","8","2","196","395","3.9215686274509802","99.49622166246851","8.061224489795919","0.0036120972060162317","1.0","0.02110700485778695","2","1","2","0.5","1.0"
"group_242","","hypothetical protein","8","2","196","395","3.9215686274509802","99.49622166246851","8.061224489795919","0.0036120972060162317","1.0","0.02110700485778695","2","1","2","0.5","1.0"
"group_2185","","hypothetical protein","8","2","196","395","3.9215686274509802","99.49622166246851","8.061224489795919","0.0036120972060162317","1.0","0.02110700485778695","6","5","2","0.21875","0.6875"
"group_1311","","IS200/IS605 family transposase ISSep3","8","2","196","395","3.9215686274509802","99.49622166246851","8.061224489795919","0.0036120972060162317","1.0","0.02110700485778695","7","5","2","0.453125","0.453125"
"group_935","","hypothetical protein","150","244","54","153","73.52941176470588","38.539042821158695","1.7418032786885247","0.003667037445762627","1.0","0.021375004938730326","8","8","4","0.0078125","1.0"
"group_1515","","hypothetical protein","47","53","157","344","23.03921568627451","86.64987405541562","1.9430356928253816","0.00366758697665222","1.0","0.021375004938730326","33","15","20","0.296206368599087","0.7283324808813632"
"group_2361","","hypothetical protein","0","15","204","382","0.0","96.22166246851386","0.0","0.003706827929850833","1.0","0.02146287201625495","2","0","2","0.5","0.5"
"group_2346","","hypothetical protein","0","15","204","382","0.0","96.22166246851386","0.0","0.003706827929850833","1.0","0.02146287201625495","2","0","2","0.5","0.5"
"group_2076","","hypothetical protein","0","15","204","382","0.0","96.22166246851386","0.0","0.003706827929850833","1.0","0.02146287201625495","2","0","2","0.5","0.5"
"group_914","","IS3 family transposase IS655;hypothetical protein","0","15","204","382","0.0","96.22166246851386","0.0","0.003706827929850833","1.0","0.02146287201625495","2","0","2","0.5","0.5"
"group_515","","hypothetical protein","0","15","204","382","0.0","96.22166246851386","0.0","0.003706827929850833","1.0","0.02146287201625495","2","0","2","0.5","0.5"
"group_174","","hypothetical protein","65","83","139","314","31.862745098039213","79.09319899244332","1.7690907514951895","0.003733426467052309","1.0","0.021588732995025135","28","11","22","0.0037191659212112427","0.34492845088243484"
