"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_1283","","hypothetical protein","5","95","154","243","3.1446540880503147","71.89349112426035","0.08304853041695147","1.2274793894829478e-12","3.813778463123519e-09","2.5944071177711015e-11","14","5","10","0.1795654296875","0.4239501953125"
"group_714","","hypothetical protein","43","15","116","323","27.044025157232703","95.56213017751479","7.982183908045977","2.3977890664838944e-12","7.44993062956546e-09","5.033736911868554e-11","4","2","4","0.125","1.0"
"group_1656","","hypothetical protein","6","97","153","241","3.7735849056603774","71.30177514792899","0.0974327875480089","2.693316193959347e-12","8.368133414631692e-09","5.616196922571605e-11","15","3","13","0.00738525390625","0.03515625"
"group_1587","","hypothetical protein","155","251","4","87","97.48427672955975","25.7396449704142","13.431274900398407","3.4540758763999367e-12","1.0731813747974603e-08","7.154542498649735e-11","4","4","2","0.125","1.0"
"group_1580","","putative lipoprotein","123","151","36","187","77.35849056603774","55.325443786982255","4.231236203090508","3.8962080794010194e-12","1.2105518502698968e-08","8.016899670661569e-11","10","8","4","0.109375","0.75390625"
"group_1866","","hypothetical protein","1","71","158","267","0.628930817610063","78.99408284023669","0.02380103405241576","3.964273782507124e-12","1.2316998642249634e-08","8.103288580427391e-11","2","1","2","0.5","1.0"
"group_1496","","hypothetical protein","36","9","123","329","22.641509433962266","97.33727810650888","10.699186991869919","4.393188694707784e-12","1.3649637274457086e-08","8.921331551932736e-11","9","3","6","0.5078125","0.5078125"
"group_1871","","hypothetical protein;IS3 family transposase ISClsp1;IS3 family transposase IS655","7","99","152","239","4.40251572327044","70.71005917159763","0.11117756512493354","5.831887218184221e-12","1.8119673586898377e-08","1.176602180967427e-10","6","3","5","0.21875","1.0"
"group_1706","","putative lipoprotein;putative protein","104","110","55","228","65.40880503144653","67.45562130177515","3.9193388429752067","6.2618535333346695e-12","1.945557892807082e-08","1.2437729415837207e-10","12","9","5","0.14599609375","0.7744140625"
"alsS_2~~~alsS_1~~~alsS","alsS_2;alsS_1;alsS","Acetolactate synthase","79","272","80","66","49.685534591194966","19.526627218934912","0.2396139705882353","6.284916376847253e-12","1.9527235182864413e-08","1.2437729415837207e-10","5","2","4","0.375","1.0"
"alsS","alsS","Acetolactate synthase","80","66","79","272","50.314465408805034","80.4733727810651","4.173379363252781","6.284916376847253e-12","1.9527235182864413e-08","1.2437729415837207e-10","5","4","2","0.375","1.0"
"group_2064","","hypothetical protein","1","70","158","268","0.628930817610063","79.28994082840237","0.02423146473779385","7.918059848840814e-12","2.460141195034841e-08","1.5472586132294597e-10","10","1","9","0.021484375","0.021484375"
"group_908","","hypothetical protein","1","70","158","268","0.628930817610063","79.28994082840237","0.02423146473779385","7.918059848840814e-12","2.460141195034841e-08","1.5472586132294597e-10","6","1","6","0.03125","0.21875"
"group_1893","","hypothetical protein;IS1182 family transposase ISSau3","5","89","154","249","3.1446540880503147","73.66863905325444","0.09083613016197285","1.4889688528087558e-11","4.6262262256768044e-08","2.8913913910480026e-10","3","3","2","0.25","1.0"
"group_1967","","hypothetical protein","21","0","138","338","13.20754716981132","100.0","inf","1.5558438744362387e-11","4.834006917873394e-08","2.9656484158732476e-10","2","2","0","0.5","0.5"
"group_2520","hsdM","Type I restriction enzyme EcoKI M protein","21","0","138","338","13.20754716981132","100.0","inf","1.5558438744362387e-11","4.834006917873394e-08","2.9656484158732476e-10","2","2","0","0.5","0.5"
"group_1059","","IS110 family transposase ISSep2","21","0","138","338","13.20754716981132","100.0","inf","1.5558438744362387e-11","4.834006917873394e-08","2.9656484158732476e-10","2","2","0","0.5","0.5"
"group_245","","hypothetical protein","37","186","122","152","23.270440251572328","44.97041420118343","0.24784064868676187","1.605581405817378e-11","4.9885414278745936e-08","3.0417935535820694e-10","19","12","9","0.359283447265625","1.0"
"group_323","","hypothetical protein","4","83","155","255","2.515723270440252","75.44378698224851","0.07928488146132918","2.1517970770957397e-11","6.685633518536463e-08","4.051899102143311e-10","13","4","10","0.09228515625","0.266845703125"
"essG_3~~~essG_5~~~essG_9","essG_3;essG_5;essG_9","Type VII secretion system protein EsaG","78","65","81","273","49.056603773584904","80.76923076923077","4.044444444444444","2.165622198730355e-11","6.728588171455213e-08","4.0533663683465136e-10","9","6","6","0.5078125","0.5078125"
"group_420","","hypothetical protein","20","140","139","198","12.578616352201259","58.57988165680473","0.20349434737923947","2.315102184646244e-11","7.19302248769588e-08","4.30719909442867e-10","5","3","4","0.375","1.0"
"group_1429","","hypothetical protein","1","67","158","271","0.628930817610063","80.1775147928994","0.025599848856980918","2.6948994810910483e-11","8.373052687749887e-08","4.983959933184456e-10","3","1","3","0.25","1.0"
"group_879","","hypothetical protein","21","143","138","195","13.20754716981132","57.692307692307686","0.2075098814229249","2.8759265964315728e-11","8.935503935112896e-08","5.287280434978045e-10","4","3","3","0.625","0.625"
"essG_1~~~essG_5~~~essG_6~~~essG_2~~~essG_8","essG_1;essG_5;essG_6;essG_2;essG_8","Type VII secretion system protein EsaG","131","176","28","162","82.38993710691824","47.928994082840234","4.306412337662338","3.564491431872799e-11","1.1074874878828787e-07","6.514632281663992e-10","13","9","6","0.266845703125","1.0"
"group_1131","","hypothetical protein","44","201","115","137","27.67295597484277","40.532544378698226","0.26078304131516333","3.6603895443112526e-11","1.1372830314175062e-07","6.650777961505884e-10","14","6","10","0.1795654296875","0.79052734375"
"group_158","","hypothetical protein","13","116","146","222","8.176100628930817","65.68047337278107","0.17040623523854512","4.5642432694403137e-11","1.4181103838151055e-07","8.244827812878521e-10","14","4","11","0.057373046875","0.1795654296875"
"map_4~~~map_2~~~map_1~~~map_5~~~map_3",";map_4;map_2;map_1;map_5;map_3","65 kDa membrane protein;Protein map;hypothetical protein","141","206","18","132","88.67924528301887","39.053254437869825","5.019417475728155","4.6387736981447315e-11","1.441266988013568e-07","8.331023052101549e-10","9","6","5","0.5078125","1.0"
"group_1111","","hypothetical protein","1","65","158","273","0.628930817610063","80.76923076923077","0.026582278481012658","4.935804048416834e-11","1.5335543178431102e-07","8.763167530532059e-10","6","1","5","0.21875","0.21875"
"group_964","","hypothetical protein","1","65","158","273","0.628930817610063","80.76923076923077","0.026582278481012658","4.935804048416834e-11","1.5335543178431102e-07","8.763167530532059e-10","6","1","5","0.21875","0.21875"
"group_639","","hypothetical protein","15","123","144","215","9.433962264150944","63.609467455621306","0.182079945799458","5.060735699229295e-11","1.572370581750542e-07","8.933923759946261e-10","5","3","5","0.0625","1.0"
"group_2202","","hypothetical protein","3","77","156","261","1.8867924528301887","77.2189349112426","0.06518481518481518","5.341742370811009e-11","1.6596793546109805e-07","9.324041318039217e-10","3","3","2","0.25","1.0"
"group_471","","hypothetical protein","3","77","156","261","1.8867924528301887","77.2189349112426","0.06518481518481518","5.341742370811009e-11","1.6596793546109805e-07","9.324041318039217e-10","3","3","2","0.25","1.0"
"group_2003","","hypothetical protein","137","195","22","143","86.16352201257862","42.30769230769231","4.566666666666666","7.133957783686304e-11","2.2165206833913345e-07","1.238279711391807e-09","4","2","3","0.625","1.0"
