"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"lpl2_2~~~lpl2_6~~~lpl2_1~~~lpl2_7~~~lpl2_3~~~lpl2_4~~~lpl2_5",";lpl2_2;lpl2_6;lpl2_1;lpl2_7;lpl2_3;lpl2_4;lpl2_5","putative lipoprotein;putative protein;hypothetical protein","103","408","58","34","63.975155279503106","7.6923076923076925","0.14798850574712644","9.43854932549402e-16","4.193547465316994e-12","6.166981566642638e-14","6","6","2","0.03125","0.6875"
"group_1657","","hypothetical protein","111","419","50","23","68.94409937888199","5.203619909502263","0.12186157517899761","1.1104455825540442e-15","4.9337097232876184e-12","6.245202181376732e-14","2","2","2","0.5","0.5"
"mvaA_1~~~mvaA","mvaA_1;mvaA","3-hydroxy-3-methylglutaryl-coenzyme A reductase","111","419","50","23","68.94409937888199","5.203619909502263","0.12186157517899761","1.1104455825540442e-15","4.9337097232876184e-12","6.245202181376732e-14","2","2","2","0.5","0.5"
"group_1449","","hypothetical protein","50","23","111","419","31.05590062111801","94.79638009049773","8.206032119075598","1.1104455825540442e-15","4.9337097232876184e-12","6.245202181376732e-14","3","2","2","1.0","1.0"
"group_1223","","hypothetical protein","50","23","111","419","31.05590062111801","94.79638009049773","8.206032119075598","1.1104455825540442e-15","4.9337097232876184e-12","6.245202181376732e-14","3","2","2","1.0","1.0"
"group_906","","hypothetical protein","50","23","111","419","31.05590062111801","94.79638009049773","8.206032119075598","1.1104455825540442e-15","4.9337097232876184e-12","6.245202181376732e-14","3","2","2","1.0","1.0"
"group_451","","hypothetical protein","50","23","111","419","31.05590062111801","94.79638009049773","8.206032119075598","1.1104455825540442e-15","4.9337097232876184e-12","6.245202181376732e-14","3","2","2","1.0","1.0"
"group_425","","hypothetical protein","50","23","111","419","31.05590062111801","94.79638009049773","8.206032119075598","1.1104455825540442e-15","4.9337097232876184e-12","6.245202181376732e-14","3","2","2","1.0","1.0"
"group_362","","hypothetical protein","50","23","111","419","31.05590062111801","94.79638009049773","8.206032119075598","1.1104455825540442e-15","4.9337097232876184e-12","6.245202181376732e-14","3","2","2","1.0","1.0"
"group_342","","hypothetical protein","50","23","111","419","31.05590062111801","94.79638009049773","8.206032119075598","1.1104455825540442e-15","4.9337097232876184e-12","6.245202181376732e-14","3","2","2","1.0","1.0"
"group_331","","hypothetical protein","50","23","111","419","31.05590062111801","94.79638009049773","8.206032119075598","1.1104455825540442e-15","4.9337097232876184e-12","6.245202181376732e-14","3","2","2","1.0","1.0"
"group_124","","hypothetical protein","50","23","111","419","31.05590062111801","94.79638009049773","8.206032119075598","1.1104455825540442e-15","4.9337097232876184e-12","6.245202181376732e-14","3","2","2","1.0","1.0"
"group_1503","","hypothetical protein","75","63","86","379","46.58385093167702","85.74660633484163","5.24640088593577","1.4749689615844936e-15","6.553287096319905e-12","8.191608870399881e-14","21","14","9","0.18924713134765625","0.6636238098144531"
"group_2394","","hypothetical protein","51","25","110","417","31.67701863354037","94.34389140271493","7.733454545454546","2.0267993070088736e-15","9.005069321040425e-12","1.0981791854927348e-13","5","3","4","0.375","1.0"
"group_535","","hypothetical protein","51","25","110","417","31.67701863354037","94.34389140271493","7.733454545454546","2.0267993070088736e-15","9.005069321040425e-12","1.0981791854927348e-13","5","3","4","0.375","1.0"
"mvaA","mvaA","3-hydroxy-3-methylglutaryl-coenzyme A reductase","50","24","111","418","31.05590062111801","94.57013574660633","7.845345345345345","2.7234598749972937e-15","1.2100332224612976e-11","1.3908427844382733e-13","3","2","3","0.25","1.0"
"qorB","qorB","Quinone oxidoreductase 2","111","418","50","24","68.94409937888199","5.429864253393665","0.1274641148325359","2.723459874997294e-15","1.2100332224612977e-11","1.3908427844382733e-13","4","3","2","0.625","1.0"
"group_1802","","hypothetical protein","111","418","50","24","68.94409937888199","5.429864253393665","0.1274641148325359","2.723459874997294e-15","1.2100332224612977e-11","1.3908427844382733e-13","3","3","2","0.25","1.0"
"group_1711","","hypothetical protein","111","418","50","24","68.94409937888199","5.429864253393665","0.1274641148325359","2.723459874997294e-15","1.2100332224612977e-11","1.3908427844382733e-13","3","3","2","0.25","1.0"
"fnbA~~~fnbA_1~~~fnbA_2","fnbA;fnbA_1;fnbA_2","Fibronectin-binding protein A","111","418","50","24","68.94409937888199","5.429864253393665","0.1274641148325359","2.723459874997294e-15","1.2100332224612977e-11","1.3908427844382733e-13","12","10","4","0.03857421875","0.3876953125"
"group_2069","","hypothetical protein","49","23","112","419","30.434782608695656","94.79638009049773","7.970108695652174","3.619929657880724e-15","1.608334746996406e-11","1.7674008208751712e-13","2","1","2","0.5","1.0"
"group_1944","","hypothetical protein","49","23","112","419","30.434782608695656","94.79638009049773","7.970108695652174","3.619929657880724e-15","1.608334746996406e-11","1.7674008208751712e-13","2","1","2","0.5","1.0"
"group_1919","qorB","Quinone oxidoreductase 2","49","23","112","419","30.434782608695656","94.79638009049773","7.970108695652174","3.619929657880724e-15","1.608334746996406e-11","1.7674008208751712e-13","2","1","2","0.5","1.0"
"group_85","","IS3 family transposase ISClsp1","49","23","112","419","30.434782608695656","94.79638009049773","7.970108695652174","3.619929657880724e-15","1.608334746996406e-11","1.7674008208751712e-13","2","1","2","0.5","1.0"
"group_1777","","hypothetical protein","11","163","150","279","6.832298136645963","63.12217194570135","0.12552147239263803","5.608343228974967e-15","2.491786896633578e-11","2.708464018079976e-13","24","9","19","0.006610751152038574","0.30745625495910645"
"group_2013","rlmH","Ribosomal RNA large subunit methyltransferase H","7","144","154","298","4.3478260869565215","67.42081447963801","0.09406565656565656","6.028211665242201e-15","2.6783344428671096e-11","2.8799295084592577e-13","16","6","13","0.021270751953125","0.454498291015625"
"group_698","","hypothetical protein","4","126","157","316","2.484472049689441","71.49321266968326","0.06389647153978364","6.731303122382672e-15","2.990717977274621e-11","3.1816148694410866e-13","3","2","3","0.25","1.0"
"group_2423","","hypothetical protein","62","43","99","399","38.50931677018634","90.27149321266968","5.8111346018322765","6.89337168535123e-15","3.0627250398015514e-11","3.2239210945279487e-13","3","3","2","0.25","1.0"
"group_1642","","putative lipoprotein","121","176","40","266","75.15527950310559","60.18099547511312","4.571875","8.247057632427905e-15","3.664167706087718e-11","3.8168413605080396e-13","11","8","7","0.2265625","0.548828125"
"group_1857","","hypothetical protein","15","179","146","263","9.316770186335404","59.502262443438916","0.1509527818167904","9.499087508233792e-15","4.2204445799082735e-11","4.35097379371987e-13","8","4","6","0.2890625","1.0"
"rlmH","rlmH","Ribosomal RNA large subunit methyltransferase H","154","300","7","142","95.65217391304348","32.126696832579185","10.413333333333334","1.1531598459684464e-14","5.1234891956378075e-11","5.228050199630416e-13","14","11","6","0.057373046875","0.79052734375"
"group_1993","","hypothetical protein","97","114","64","328","60.24844720496895","74.2081447963801","4.360745614035087","1.5107129870733476e-14","6.712097801566884e-11","6.779896769259478e-13","30","12","20","0.09873714670538905","0.36159460805356514"
"group_1212","","hypothetical protein","50","27","111","415","31.05590062111801","93.89140271493213","6.92359025692359","3.4188390858698645e-14","1.5189902058519807e-10","1.5189902058519806e-12","4","2","3","0.625","1.0"
"hylB~~~hylB_1","hylB;;hylB_1","Hyaluronate lyase","8","144","153","298","4.968944099378882","67.42081447963801","0.10820624546114742","4.386416729262758e-14","1.9488849528114435e-10","1.929589062189548e-12","8","4","6","0.2890625","1.0"
"group_1211","","hypothetical protein","112","416","49","26","69.56521739130434","5.88235294117647","0.14285714285714285","4.7014936327425915e-14","2.0888736210275334e-10","2.0479153147328757e-12","2","2","1","0.5","1.0"
"lpl2_3~~~lpl2_6","lpl2_3;lpl2_6;","putative lipoprotein;putative protein","51","29","110","413","31.67701863354037","93.43891402714932","6.60282131661442","5.40652538279269e-14","2.402119227574792e-10","2.3321545898784392e-12","6","3","5","0.21875","1.0"
