"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_2446","","hypothetical protein","83","0","174","343","32.295719844357976","100.0","inf","3.415137063707618e-35","1.5170038836989239e-31","4.893560915157819e-33","1","1","0","1.0","1.0"
"group_2248","","hypothetical protein","83","0","174","343","32.295719844357976","100.0","inf","3.415137063707618e-35","1.5170038836989239e-31","4.893560915157819e-33","1","1","0","1.0","1.0"
"group_1898","","hypothetical protein","247","188","10","155","96.10894941634241","45.18950437317784","20.36436170212766","8.565797884730799e-34","3.804927420397421e-30","1.189039818874194e-31","9","8","3","0.0390625","0.5078125"
"group_64","","hypothetical protein","89","3","168","340","34.63035019455253","99.12536443148689","60.03968253968254","1.803025434890814e-33","8.009038981784996e-30","2.426981509631817e-31","9","7","2","0.1796875","0.1796875"
"arcR_2","arcR_2","HTH-type transcriptional regulator ArcR","86","2","171","341","33.46303501945525","99.41690962099126","85.74853801169591","2.2171105481424607e-33","9.848405054848811e-30","2.447926071373475e-31","2","1","1","1.0","1.0"
"arcC1_2","arcC1_2","Carbamate kinase 1","86","2","171","341","33.46303501945525","99.41690962099126","85.74853801169591","2.2171105481424607e-33","9.848405054848811e-30","2.447926071373475e-31","2","1","1","1.0","1.0"
"argF_2","argF_2","Ornithine carbamoyltransferase","86","2","171","341","33.46303501945525","99.41690962099126","85.74853801169591","2.2171105481424607e-33","9.848405054848811e-30","2.447926071373475e-31","2","1","1","1.0","1.0"
"arcA_2","arcA_2","Arginine deiminase","86","2","171","341","33.46303501945525","99.41690962099126","85.74853801169591","2.2171105481424607e-33","9.848405054848811e-30","2.447926071373475e-31","2","1","1","1.0","1.0"
"argR_3","argR_3","Arginine repressor","86","2","171","341","33.46303501945525","99.41690962099126","85.74853801169591","2.2171105481424607e-33","9.848405054848811e-30","2.447926071373475e-31","2","1","1","1.0","1.0"
"arcD_2","arcD_2","Arginine/ornithine antiporter","86","2","171","341","33.46303501945525","99.41690962099126","85.74853801169591","2.2171105481424607e-33","9.848405054848811e-30","2.447926071373475e-31","2","1","1","1.0","1.0"
"group_164","","hypothetical protein","86","2","171","341","33.46303501945525","99.41690962099126","85.74853801169591","2.2171105481424607e-33","9.848405054848811e-30","2.447926071373475e-31","2","1","1","1.0","1.0"
"group_1797","","hypothetical protein","244","181","13","162","94.94163424124513","47.23032069970846","16.79898002549936","2.2594545008174804e-33","1.0036496892631248e-29","2.447926071373475e-31","6","5","5","0.21875","0.21875"
"group_1793","","hypothetical protein","102","9","155","334","39.688715953307394","97.37609329446065","24.421505376344086","3.1600501431525014e-33","1.4036942735883412e-29","3.342129222829384e-31","13","9","5","0.266845703125","0.5810546875"
"group_1832","","hypothetical protein","109","13","148","330","42.4124513618677","96.20991253644316","18.695426195426194","8.383280236284656e-33","3.723853080957644e-29","8.660123444087544e-31","4","3","2","0.625","1.0"
"group_1546","","hypothetical protein","6","139","251","204","2.3346303501945527","59.475218658892125","0.03508269081945599","1.8673028827276257e-32","8.294559405076113e-29","1.8851271375172985e-30","5","2","5","0.0625","1.0"
"group_2070","","hypothetical protein","86","3","171","340","33.46303501945525","99.12536443148689","56.99805068226121","4.406347649195758e-32","1.9572996257727556e-28","4.349554723939457e-30","10","8","3","0.109375","0.34375"
"group_661","","hypothetical protein","83","2","174","341","32.295719844357976","99.41690962099126","81.33045977011494","5.426458003451125e-32","2.4104326451329897e-28","5.2400709676804124e-30","2","1","1","1.0","1.0"
"group_2215","","hypothetical protein","76","0","181","343","29.571984435797667","100.0","inf","6.287843236404357e-32","2.7930599656108154e-28","5.818874928355866e-30","1","1","0","1.0","1.0"
"group_2062","","hypothetical protein","76","0","181","343","29.571984435797667","100.0","inf","6.287843236404357e-32","2.7930599656108154e-28","5.818874928355866e-30","1","1","0","1.0","1.0"
"essG_8","essG_8","Type VII secretion system protein EsaG","119","21","138","322","46.30350194552529","93.87755102040816","13.222222222222221","1.0057839395454618e-31","4.467692259460941e-28","9.11773930502233e-30","5","4","4","0.375","0.375"
"group_2067","","hypothetical protein","75","0","182","343","29.18287937743191","100.0","inf","1.8138009335786085e-31","8.056903746956179e-28","1.611380749391236e-29","1","1","0","1.0","1.0"
"group_1217","","hypothetical protein","84","3","173","340","32.68482490272373","99.12536443148689","55.028901734104046","3.632488329750489e-31","1.6135513160751672e-27","3.163826109951308e-29","9","7","3","0.1796875","0.5078125"
"aldC_1","aldC_1","Alpha-acetolactate decarboxylase","159","56","98","287","61.86770428015564","83.6734693877551","8.315051020408163","4.248262084428792e-31","1.8870780179032692e-27","3.628996188275518e-29","6","5","2","0.21875","0.6875"
